timestamp,open,high,low,close,volume
2021-02-18,780.9000,794.6900,776.2700,787.3800,17957058
2021-02-17,779.0900,799.8400,762.0100,798.1500,25878526
2021-02-16,818.0000,821.0000,792.4400,796.2200,19802324
2021-02-12,801.2600,817.3300,785.3306,816.1200,23768313
2021-02-11,812.4400,829.8799,801.7250,811.6600,21622753
2021-02-10,843.6350,844.8200,800.0200,804.8200,35723444
2021-02-09,855.1200,859.8000,841.7500,849.4600,15027305
2021-02-08,869.6700,877.7700,854.7500,863.4200,20161719
2021-02-05,845.0000,864.7700,838.9700,852.2300,18566637
2021-02-04,855.0000,856.5000,833.4200,849.9900,15812661
2021-02-03,877.0200,878.0800,853.0646,854.6900,18343510
2021-02-02,844.6800,880.5000,842.2006,872.7900,23998098
2021-02-01,814.2900,842.0000,795.5601,839.8100,25391385
2021-01-29,830.0003,842.4100,780.1000,793.5300,34990754
2021-01-28,820.0000,848.0000,801.0000,835.4300,26378048
2021-01-27,870.3500,891.5000,858.6600,864.1600,27333955
2021-01-26,891.3800,895.9000,871.6000,883.0900,23131603
2021-01-25,855.0000,900.4000,838.8201,880.8000,41173397
2021-01-22,834.3100,848.0000,828.6200,846.6400,20066497
2021-01-21,855.0000,855.7199,841.4201,844.9900,20598133
2021-01-20,858.7400,859.5000,837.2800,850.4500,25665883
2021-01-19,837.8000,850.0000,833.0000,844.5500,25366980
2021-01-15,852.0000,859.9000,819.1000,826.1600,38777596
2021-01-14,843.3900,863.0000,838.7500,845.0000,31266327
2021-01-13,852.7600,860.4700,832.0000,854.4100,33312496
2021-01-12,831.0000,868.0000,827.3400,849.4400,45985569
2021-01-11,849.4000,854.4300,803.6222,811.1900,59554146
2021-01-08,856.0000,884.4900,838.3900,880.0200,75055528
2021-01-07,777.6300,816.9900,775.2000,816.0400,51498948
2021-01-06,758.4900,774.0000,749.1000,755.9800,44699965
2021-01-05,723.6600,740.8400,719.2000,735.1100,32245165
2021-01-04,719.4600,744.4899,717.1895,729.7700,48638189
2020-12-31,699.9900,718.7200,691.1200,705.6700,49649928
2020-12-30,672.0000,696.6000,668.3603,694.7800,42846021
2020-12-29,661.0000,669.9000,655.0000,665.9900,22910811
2020-12-28,674.5100,681.4000,660.8000,663.6900,31553561
2020-12-24,642.9900,666.0900,641.0000,661.7700,22865568
2020-12-23,632.2000,651.4999,622.5701,645.9800,33172972
2020-12-22,648.0000,649.8800,614.2300,640.3400,51861644
2020-12-21,666.2400,668.5000,646.0700,649.8600,58045264
2020-12-18,668.9000,695.0000,628.5400,695.0000,222126194
2020-12-17,628.1900,658.8200,619.5000,655.9000,56270144
2020-12-16,628.2300,632.5000,605.0000,622.7700,42095813
2020-12-15,643.2800,646.9000,623.8000,633.2500,45223559
2020-12-14,619.0000,642.7499,610.2001,639.8300,52040649
2020-12-11,615.0100,624.0000,596.8000,609.9900,46474974
2020-12-10,574.3700,627.7500,566.3400,627.0700,67083153
2020-12-09,653.6900,654.3200,588.0000,604.4800,71291190
2020-12-08,625.5050,651.2800,618.5000,649.8800,64265029
2020-12-07,604.9197,648.7856,603.0500,641.7600,56309709
2020-12-04,591.0100,599.0400,585.5000,599.0400,29401314
2020-12-03,590.0200,598.9700,582.4300,593.3800,42552003
2020-12-02,556.4400,571.5400,541.2100,568.8200,47775653
2020-12-01,597.5900,597.8500,572.0500,584.7600,39133346
2020-11-30,602.2100,607.8000,554.5100,567.6000,63003052
2020-11-27,581.1600,598.7800,578.4500,585.7600,37561078
2020-11-25,550.0600,574.0000,545.3700,574.0000,48930162
2020-11-24,540.4000,559.9900,526.2000,555.3800,52058771
2020-11-23,503.5000,526.0000,501.7900,521.8500,50260304
2020-11-20,497.9900,502.5000,489.0600,489.6100,32911922
2020-11-19,492.0000,508.6112,487.5700,499.2700,62475346
2020-11-18,448.3500,496.0000,443.5001,486.6400,78044024
2020-11-17,460.1700,462.0000,433.0100,441.6100,61188281
